iter	Passed	Remaining
1297	12934	86713
1298	12945	86708
1299	12954	86695
1300	12962	86673
1301	12976	86691
1302	12985	86675
1303	13000	86695
1304	13009	86677
1305	13019	86667
1306	13029	86661
1307	13038	86646
1308	13048	86632
1309	13059	86629
1310	13068	86612
1311	13076	86592
1312	13086	86582
1313	13104	86623
1314	13113	86610
1315	13125	86611
1316	13135	86602
1317	13144	86587
1318	13155	86585
1319	13166	86582
1320	13178	86579
1321	13188	86571
1322	13197	86559
1323	13207	86548
1324	13218	86541
1325	13229	86541
1326	13240	86535
1327	13251	86536
1328	13261	86523
1329	13269	86500
1330	13279	86493
1331	13290	86486
1332	13299	86472
1333	13314	86492
1334	13323	86476
1335	13334	86472
1336	13344	86466
1337	13356	86469
1338	13365	86448
1339	13374	86434
1340	13387	86446
1341	13397	86434
1342	13407	86424
1343	13416	86407
1344	13424	86388
1345	13433	86369
1346	13443	86357
1347	13453	86347
1348	13462	86331
1349	13471	86318
1350	13487	86345
1351	13501	86359
1352	13510	86342
1353	13519	86329
1354	13528	86315
1355	13539	86311
1356	13551	86311
1357	13561	86299
1358	13570	86288
1359	13583	86293
1360	13592	86277
1361	13601	86264
1362	13612	86256
1363	13626	86276
1364	13635	86258
1365	13645	86251
1366	13655	86238
1367	13667	86241
1368	13677	86233
1369	13692	86253
1370	13703	86246
1371	13713	86241
1372	13723	86226
1373	13733	86219
1374	13741	86198
1375	13750	86182
1376	13760	86169
1377	13770	86158
1378	13778	86137
1379	13788	86128
1380	13798	86115
1381	13806	86098
1382	13815	86078
1383	13824	86060
1384	13833	86047
1385	13843	86036
1386	13853	86028
1387	13863	86018
1388	13873	86006
1389	13881	85986
1390	13891	85976
1391	13903	85975
1392	13917	85994
1393	13929	85994
1394	13939	85987
1395	13949	85975
1396	13958	85957
1397	13969	85952
1398	13977	85935
1399	13986	85915
1400	13995	85901
1401	14006	85895
1402	14015	85880
1403	14024	85863
1404	14033	85849
1405	14042	85835
1406	14052	85821
1407	14061	85809
1408	14071	85796
1409	14084	85805
1410	14094	85798
1411	14104	85786
1412	14117	85793
1413	14129	85795
1414	14139	85785
1415	14148	85770
1416	14158	85760
1417	14168	85752
1418	14176	85729
1419	14187	85723
1420	14196	85707
1421	14206	85696
1422	14216	85689
1423	14229	85694
1424	14237	85673
1425	14246	85660
1426	14256	85648
1427	14264	85629
1428	14273	85611
1429	14283	85601
1430	14291	85582
1431	14302	85573
1432	14310	85555
1433	14319	85537
1434	14329	85529
